ABE,1994,7096
ABE,2005,4742
ABI,2001,2567
ABQ,1990,31893
ABQ,1998,36320
ABQ,2001,36248
ACT,2003,2736
ACV,2005,4042
ACY,2008,116
ADQ,1996,533
ADQ,2007,691
AEX,2005,2595
AGS,1995,2387
AGS,2006,2332
AKN,1994,400
AKN,2005,389
ALB,1997,11179
ALB,2000,13683
ALB,2008,13474
AMA,1995,4294
AMA,2006,8495
ANC,1996,20673
ANC,2007,19755
ANI,1994,138
ATL,1988,259731
ATL,1991,188408
ATL,1999,263865
ATL,2002,231928
ATW,2005,2392
AUS,1997,37671
AUS,2000,42686
AUS,2008,49623
AVL,1997,2000
AVL,2000,1584
AVL,2008,4399
AVP,1993,2524
AVP,2004,3153
AZO,1996,2244
AZO,2007,5121
BDL,1989,29154
BDL,1992,28730
BDL,2003,33567
BET,1988,584
BET,1991,593
BET,1999,1030
BET,2002,1399
BFF,2003,1
BFL,1990,1713
BFL,1998,239
BFL,2001,1669
BGM,1990,2131
BGM,1998,1046
BGM,2001,376
BGR,1995,1589
BGR,2006,4303
BHM,1997,18922
BHM,2000,19875
BHM,2008,23679
BIL,1995,3701
BIL,2006,4692
BIS,1994,1402
BIS,2005,2426
BLI,2008,120
BMI,2007,4219
BNA,1995,43382
BNA,2006,60554
BOI,1994,6141
BOI,2005,16785
BOS,1996,93213
BOS,2007,128320
BPT,2007,364
BQK,2005,1290
BQN,2000,17
BQN,2008,1519
BRO,1997,472
BRO,2000,55
BRO,2008,1464
BRW,1997,922
BRW,2000,959
BRW,2008,728
BTM,1993,711
BTM,2004,1461
BTR,1990,8623
BTR,1998,4679
BTR,2001,5028
BTV,1994,3241
BTV,2005,8982
BUF,1993,22789
BUF,2004,27913
BUR,1997,29115
BUR,2000,27717
BUR,2008,31405
BWI,1994,71197
BWI,2005,106789
BZN,1996,2256
BZN,2007,5237
CAE,1997,6039
CAE,2000,4885
CAE,2008,10550
CAK,1995,1574
CAK,2006,9507
CCR,1989,1285
CDC,2003,1070
CDV,1995,726
CDV,2006,726
CHA,1994,3537
CHA,2005,5103
CHO,1989,1647
CHO,1992,378
CHO,2003,2649
CHS,1996,7591
CHS,2007,15673
CIC,2006,1275
CID,1996,5418
