ABE,1995,7198
ABE,2006,5188
ABI,2002,2437
ABQ,1988,31480
ABQ,1991,30334
ABQ,1999,37276
ABQ,2002,36240
ACK,2003,193
ACT,2004,3522
ACV,2006,3664
ACY,1990,760
ACY,2001,1
ADQ,1997,719
ADQ,2000,728
ADQ,2008,706
AEX,2006,2809
AGS,1996,2137
AGS,2007,2286
AKN,1995,475
AKN,2006,364
ALB,1990,13713
ALB,1998,11276
ALB,2001,16349
AMA,1996,4792
AMA,2007,7542
ANC,1997,19988
ANC,2000,20782
ANC,2008,19327
ANI,1995,133
APF,2001,364
ATL,1989,224036
ATL,1992,203087
ATL,2003,368743
ATW,2006,4348
AUS,1990,28397
AUS,1998,39533
AUS,2001,42912
AVL,1990,2320
AVL,1998,1783
AVL,2001,1586
AVP,1994,2507
AVP,2005,2597
AZO,1997,1802
AZO,2000,1039
AZO,2008,3924
BDL,1993,26262
BDL,2004,34565
BET,1989,574
BET,1992,646
BET,2003,1175
BFL,1988,1281
BFL,1991,1541
BFL,1999,239
BGM,1988,2161
BGM,1991,1899
BGM,1999,1035
BGR,1996,1259
BGR,2007,4091
BHM,1990,18127
BHM,1998,19490
BHM,2001,18777
BIL,1996,3549
BIL,2007,4694
BIS,1995,1417
BIS,2006,2364
BLI,1990,1903
BMI,2008,4801
BNA,1996,44370
BNA,2007,61070
BOI,1995,10174
BOI,2006,17114
BOS,1997,98268
BOS,2000,113056
BOS,2008,117915
BPT,2008,276
BQK,2006,1000
BQN,2001,259
BRO,1998,362
BRO,2001,254
BRW,1998,946
BRW,2001,868
BTM,1994,183
BTM,2005,1337
BTR,1988,8767
BTR,1991,8254
BTR,1999,4668
BTR,2002,3459
BTV,1995,3362
BTV,2006,6869
BUF,1994,23906
BUF,2005,27079
BUR,1990,25635
BUR,1998,28095
BUR,2001,26761
BWI,1995,66154
BWI,2006,107584
BZN,1997,2103
BZN,2000,1856
BZN,2008,4659
CAE,1990,11515
CAE,1998,5616
CAE,2001,3477
CAK,1996,1087
CAK,2007,9335
CDC,2004,758
CDV,1996,726
CDV,2007,726
CEC,2003,1203
CHA,1995,3387
CHA,2006,4704
CHO,2004,3025
CHS,1997,7424
CHS,2000,6969
CHS,2008,14181
CIC,2007,1374
CID,1997,5753
CID,2000,5146
CID,2008,9377
CKB,2004,6
CLD,2005,2088
CLE,1995,66888
CLE,2006,86421
CLL,2005,3294
CLT,1994,129391
CLT,2005,114510
CMH,1997,41309
CMH,2000,35654
CMH,2008,34157
CMI,1990,1076
CMI,2001,1829
CMX,2008,318
COS,1990,10393
COS,1998,12235
COS,2001,11176
CPR,2007,3890
CRP,1989,5880
CRP,1992,7298
CRP,2003,7863
CRW,1988,4641
CRW,1991,2757
CRW,1999,1319
CSG,1990,1039
CVG,1995,76629
CVG,2006,126680
CWA,2007,1773
DAB,1996,4031
DAB,2007,3687
DAL,1990,37053
DAL,1998,48235
DAL,2001,47923
DAY,1995,14524
DAY,2006,13481
DBQ,2005,1408
DCA,1993,87948
DCA,2004,93432
DEN,1996,131724
DEN,2007,240928
DFW,1996,249351
DFW,2007,297345
DHN,2004,2028
DLG,1998,397
DLG,2001,264
DLH,1988,1377
DLH,1991,1745
DLH,1999,1129
DLH,2002,2069
DRO,1989,751
DRO,1992,638
DRO,2003,1549
DSM,1997,7785
DSM,2000,6682
DSM,2008,16643
DTW,1990,120331
DTW,1998,153413
DTW,2001,148767
DUT,1994,332
EAU,1989,426
EGE,1994,563
EGE,2005,1543
EKO,2003,3007
ELM,1997,1332
ELM,2000,1406
ELM,2008,1336
ELP,1989,24865
ELP,1992,26075
ELP,2003,20174
ERI,1995,1454
ERI,2006,892
