ABE,1996,7125
ABE,2007,5701
ABI,1989,2
ABI,2003,2529
ABQ,1989,30882
ABQ,1992,31744
ABQ,2003,36708
ABY,2003,1449
ACK,1993,19
ACK,2004,242
ACT,2005,2947
ACV,2007,3872
ACY,1988,447
ACY,1991,934
ADK,2003,74
ADQ,1998,726
ADQ,2001,726
AEX,2007,2996
AGS,1997,2183
AGS,2000,993
AGS,2008,2403
AKN,1996,453
AKN,2007,235
ALB,1988,12448
ALB,1991,12368
ALB,1999,11644
ALB,2002,13961
ALO,1996,469
ALO,2007,300
AMA,1997,4862
AMA,2000,4790
AMA,2008,7496
ANC,1990,14490
ANC,1998,20518
ANC,2001,21186
ANI,1996,64
APF,1988,807
ASE,2006,3733
ATL,1993,220818
ATL,2004,418072
ATW,2007,6179
AUS,1988,28983
AUS,1991,29519
AUS,1999,44351
AUS,2002,39202
AVL,1988,2321
AVL,1991,3054
AVL,1999,1423
AVL,2002,980
AVP,1995,2605
AVP,2006,2591
AZO,1990,3387
AZO,1998,1560
AZO,2001,2647
BDL,1994,26827
BDL,2005,37246
BET,1993,739
BET,2004,1139
BFL,1989,958
BFL,1992,714
BFL,2003,2758
BGM,1989,2102
BGM,1992,1495
BGM,2003,1184
BGR,1997,1256
BGR,2008,2879
BHM,1988,18585
BHM,1991,16104
BHM,1999,20889
BHM,2002,17398
BIL,1997,3467
BIL,2000,3026
BIL,2008,4505
BIS,1996,1424
BIS,2007,3155
BLI,1988,1045
BLI,1991,1015
BMI,2001,1434
BNA,1997,48720
BNA,2000,57676
BNA,2008,57539
BOI,1996,12114
BOI,2007,18106
BOS,1990,94092
BOS,1998,98415
BOS,2001,133013
BPT,2001,1728
BQK,2007,993
BQN,1991,13
BQN,2002,246
BRO,1999,93
BRO,2002,249
BRW,1999,952
BRW,2002,751
BTM,2006,797
BTR,1989,8684
BTR,1992,8182
BTR,2003,7494
BTV,1996,3347
BTV,2007,7239
BUF,1995,19932
BUF,2006,27440
BUR,1988,23217
BUR,1991,25528
BUR,1999,27872
BUR,2002,25602
BWI,1996,62517
BWI,2007,109385
BZN,1990,3954
BZN,1998,1944
BZN,2001,1658
CAE,1988,10686
CAE,1991,8503
CAE,1999,4842
CAE,2002,1783
CAK,1997,1067
CAK,2000,1052
CAK,2008,8994
CDC,2005,1001
CDV,1997,724
CDV,2000,728
CDV,2008,725
CEC,2004,1019
CHA,1996,1368
CHA,2007,4533
CHO,2005,2139
CHS,1990,13622
CHS,1998,7231
CHS,2001,6111
CIC,2008,1392
CID,1990,5347
CID,1998,5528
CID,2001,7159
CKB,2005,1
CLD,2006,2853
CLE,1996,66451
CLE,2007,78288
