1,2007,1112474
5,2007,1101689
4,2007,1097738
3,2007,1088858
2,2007,1078562
5,2004,1061447
4,2004,1060245
5,2006,1056606
4,2006,1052949
5,2005,1050985
1,2005,1048968
1,2006,1048054
4,2005,1047749
1,2004,1044508
3,2005,1043208
3,2006,1042952
7,2007,1040556
3,2008,1039665
2,2005,1037289
3,2004,1036521
1,2008,1036201
5,2008,1035166
2,2004,1033863
4,2008,1032224
2,2008,1032049
2,2006,1030322
7,2006,1011508
7,2005,992955
7,2004,988879
7,2008,976887
3,2003,962100
1,2003,959114
5,2003,954701
4,2003,952542
2,2003,947126
6,2007,933338
6,2005,919442
6,2004,903807
7,2003,901697
6,2006,899531
1,2001,881379
3,2001,871772
2,2001,871342
5,2001,871140
4,2001,870683
6,2008,857536
3,2000,830751
5,2000,828944
7,2001,828683
2,2000,828523
4,2000,827740
1,2000,825186
5,1999,817145
3,1999,812857
2,1999,812478
6,2003,811260
1,1999,810519
4,1999,809243
3,1997,802130
7,2000,800241
4,1998,796404
1,1996,793071
2,1996,792543
2,1997,791617
1,1997,790298
2,1998,789241
3,1998,789076
1,1998,788003
5,1997,786342
4,1997,785731
5,1998,782299
1,1990,781823
2,2002,780556
3,1995,779452
2,1995,778389
3,1996,778193
5,1995,776992
4,1995,775836
5,1996,775343
4,1996,774533
1,2002,774285
1,1995,773467
6,2001,772781
5,2002,771174
2,1990,770341
3,1990,770044
3,2002,769799
4,2002,768973
4,1990,766575
5,1988,766364
5,1990,765068
7,1999,761636
2,1991,758840
3,1992,758213
3,1988,757963
2,1988,757140
3,1994,756864
2,1994,756532
1,1988,755898
1,1994,754636
4,1988,753415
4,1994,751537
5,1994,751531
4,1992,751417
7,1997,749527
7,1995,748013
1,1991,747531
2,1992,746435
5,1993,746019
1,1992,745442
3,1991,745401
7,1998,745170
2,1993,743108
3,1993,741988
6,2000,741662
1,1993,741084
4,1991,739321
5,1991,739313
7,1996,738773
4,1993,737026
5,1992,736609
2,1989,735404
3,1989,735180
1,1989,733459
7,2002,732350
5,1989,731548
4,1989,731008
7,1990,722791
7,1994,713703
7,1988,713521
7,1989,706521
6,1997,706198
6,1999,704006
6,1996,699527
6,1988,697795
7,1993,697670
7,1992,697121
6,1995,695286
6,1994,695245
6,1998,694528
6,1990,694251
7,1991,693528
6,2002,674222
6,1989,668080
6,1993,663606
6,1992,656920
6,1991,652991
