ORD	WINTER	2008	2665548
ATL	SUMMER	2005	2581309
ORD	WINTER	2007	2577944
ATL	SUMMER	2007	2339996
ORD	SPRING	2004	2210465
ORD	SPRING	2007	2115818
ORD	SUMMER	2000	2111374
ORD	FALL	2006	2099739
ORD	WINTER	2004	2080635
ORD	SUMMER	2007	2064228
ATL	FALL	2006	2020341
ORD	SPRING	2006	2002835
ORD	SUMMER	2008	1944188
ATL	SUMMER	2008	1886663
ORD	SUMMER	2006	1860565
ORD	WINTER	2006	1804482
ATL	SUMMER	2006	1768495
ATL	WINTER	2004	1753158
ORD	SPRING	2008	1738087
ORD	SUMMER	2004	1724556
ATL	WINTER	2005	1695976
ATL	SUMMER	2004	1694822
DFW	SUMMER	2007	1684152
ATL	WINTER	2008	1671234
ORD	WINTER	2005	1650038
ATL	SPRING	2005	1548826
ATL	FALL	2004	1548572
ORD	SUMMER	2001	1502258
ATL	SPRING	2008	1451569
ATL	WINTER	2006	1449894
ATL	WINTER	2007	1448687
ORD	SUMMER	2005	1446165
ORD	SUMMER	1999	1423235
ORD	WINTER	2003	1386682
ATL	FALL	2007	1378536
ORD	SUMMER	2003	1362250
ORD	SPRING	2000	1353390
ORD	FALL	2007	1319352
ORD	FALL	2003	1307657
DFW	SUMMER	2004	1292556
ORD	SPRING	2001	1289385
ORD	WINTER	2000	1286600
ORD	SPRING	1999	1278250
ATL	SPRING	2006	1274239
ORD	SUMMER	1989	1273214
ORD	SUMMER	2002	1263375
ORD	WINTER	1996	1248018
DFW	WINTER	2007	1227115
DFW	SUMMER	2005	1219528
ATL	SUMMER	2003	1210047
EWR	SUMMER	2007	1195110
ATL	WINTER	2003	1189767
ATL	FALL	2005	1177196
ATL	WINTER	1990	1171282
ATL	FALL	2008	1163525
ORD	WINTER	1999	1161378
EWR	SPRING	2007	1144460
EWR	SUMMER	2006	1143867
ORD	SUMMER	1998	1132171
DEN	WINTER	2007	1116930
ATL	SPRING	2004	1111076
ORD	WINTER	1989	1099406
EWR	SUMMER	2005	1098595
EWR	SUMMER	2008	1087857
ORD	SPRING	1996	1087140
DFW	SPRING	2008	1082420
EWR	WINTER	2007	1077401
DFW	SUMMER	2008	1076434
ATL	SPRING	2007	1067399
DFW	SPRING	2007	1060300
ORD	SPRING	2003	1054270
ATL	WINTER	1996	1053150
ORD	SUMMER	1996	1045475
DFW	WINTER	2008	1025348
ATL	SUMMER	1999	1011973
ORD	WINTER	1988	1006511
ORD	WINTER	2001	1002107
EWR	FALL	2006	1000310
ORD	WINTER	1997	997530
JFK	SUMMER	2007	992721
EWR	SPRING	2008	989196
SFO	WINTER	2008	985721
ORD	SUMMER	1995	982478
LAX	SUMMER	2000	979528
ORD	SPRING	2005	979266
ATL	SPRING	2003	978482
ORD	SPRING	1993	974978
ORD	FALL	2000	971574
ORD	FALL	2008	964310
DFW	WINTER	2004	964126
DEN	SUMMER	2000	958870
EWR	WINTER	2008	951764
ATL	SUMMER	1997	947645
EWR	FALL	2005	946330
ORD	SUMMER	1997	946148
ORD	FALL	2005	935700
SFO	WINTER	1996	935307
DEN	SUMMER	2007	934185
DEN	WINTER	2008	929968
SFO	SUMMER	2000	927089
DFW	WINTER	1990	926045
DFW	SPRING	2006	924074
LAX	WINTER	2008	923416
DFW	SUMMER	2003	922315
JFK	SUMMER	2008	920048
ATL	WINTER	2000	914563
LAX	WINTER	1996	913695
EWR	WINTER	2006	913478
ORD	FALL	2004	907168
ORD	WINTER	1990	906848
DFW	SUMMER	2006	896325
ATL	SUMMER	2001	891441
DFW	WINTER	2006	888482
LAX	SUMMER	2007	887018
ORD	SPRING	1989	886933
ATL	WINTER	1997	886840
ORD	SPRING	1998	886217
DFW	SUMMER	1996	874711
LAX	WINTER	2000	873860
DFW	SUMMER	2001	869205
ATL	SUMMER	2000	868641
ATL	WINTER	1998	867742
LAX	FALL	2000	866498
DEN	SUMMER	2008	866318
EWR	FALL	2007	862469
ORD	WINTER	1994	860479
EWR	SPRING	2006	857374
DFW	FALL	2006	856101
LAX	WINTER	2007	851961
EWR	SUMMER	2004	850747
SFO	WINTER	1998	850138
ORD	SPRING	1990	847020
DTW	WINTER	2007	845959
ORD	WINTER	2002	842224
DFW	WINTER	1996	841262
ATL	SPRING	1998	841200
IAH	SUMMER	2006	840499
ORD	SUMMER	1993	839390
DFW	WINTER	1995	837907
ATL	SPRING	1999	837347
DFW	SPRING	1999	833945
ORD	SUMMER	1990	833879
ORD	WINTER	1995	828630
ORD	SPRING	2002	828188
DFW	WINTER	2001	813693
ORD	WINTER	1998	812340
ATL	SPRING	1996	807903
ATL	WINTER	1999	803487
IAH	SUMMER	2007	801304
SFO	SUMMER	2008	800764
ORD	FALL	1998	798538
ORD	FALL	1988	798177
DFW	FALL	2004	797788
SFO	SUMMER	1998	797542
DFW	WINTER	1997	794780
DFW	SUMMER	2000	788394
DFW	WINTER	2005	787444
ATL	SPRING	1997	786300
DFW	FALL	2007	785911
LAX	SUMMER	2008	779850
LAX	SUMMER	2006	779554
ATL	FALL	1997	777739
DFW	SPRING	1995	777282
LAX	SPRING	2000	775390
DFW	SUMMER	1999	773602
DFW	WINTER	1994	773499
IAH	SPRING	2006	768570
LGA	SUMMER	2007	766936
MSP	SUMMER	2007	766361
DTW	SUMMER	2007	766300
ATL	WINTER	1995	766049
EWR	WINTER	2005	763131
LAX	SPRING	2001	762150
